maker,product_name,url,fields_found,has_analysis_section,is_therapeutic,disclosed_crude_protein,disclosed_crude_fat,disclosed_crude_fiber,disclosed_crude_ash,disclosed_moisture,disclosed_calorie,disclosed_phosphorus,disclosed_ingredients,crude_protein_value,crude_fat_value,crude_fiber_value,crude_ash_value,moisture_value,calorie_kcal,phosphorus_value,calcium_value,sodium_value,magnesium_value,ingredients_snippet,fetched_at
アダプトゲン製薬九州株式会社,OEM（受託製造）ー ペットフード ー | アダプトゲン製薬九州株式会社,https://adaptgen-kyushu.com/oem-petfood/,2,True,False,no,no,no,no,yes,no,no,yes,,,,,10%,,,,,,を使用しています。 【 6 】　原料素材の手配（または栽培）からパッケージ（完成品）まで一貫製造できます。 総合栄養食をはじめ様々な形状に対応 ドライフード 製品水分10％程度以下のフード。 手間をかけずに与えることができ、保存もしやすいというメリットがあります。 また、カリカリと噛み砕いて食べることにより、デンタルケ,2026-06-20
株式会社ビルバックジャパン,C.E.T.®インテリデント｜機能性おやつ｜ビルバックジャパン - Virbac,https://jp.virbac.com/home/cat/functional-snacks.html,6,True,False,no,yes,yes,yes,yes,yes,no,yes,,7.0%,2.5%,12.5%,9.0%,2.61kcal,,,,,穀物粉ブレンド(玄米、トウモロコシ粉、コーングルテンミール、チキンミール、フィッシュミール、ゼラチン(牛由来)、塩、硫酸カルシウム、ビール酵母、セルロース)、グリセリン(植物由来)、合成フレーバー(チキン、酵母、フィッシュ、大豆油)、加水分解チキンレバー、チキンフレーバー、鶏脂、サーモンオイル、ポリリン酸ナトリウム、ザ,2026-06-20
ペットライン株式会社,キャットフード「メディファス 満腹感ダイエット 1歳から チキン＆フィッシュ味」｜国産フードはペットライン,https://www.petline.co.jp/cat/MFD/MFD-40/,11,True,False,yes,yes,yes,yes,yes,yes,yes,yes,29.5%,7.5%,6.5%,10.0%,10.0%,340kcal,0.7%,0.7%,0.7%,0.09%,穀類(とうもろこし、コーングルテンミール、小麦粉)、肉類(ミートミール、チキンミール、チキンレバーパウダー)、豆類(おから)、油脂類(動物性油脂)、セルロース、魚介類(フィッシュミール：DHA・EPA源、フィッシュエキス)、糖類(フラクトオリゴ糖)、シャンピニオンエキス、L-カルニチン、セレン酵母、ビタミン類(A、D3,2026-06-20
ペットライン株式会社,ドッグフード一覧｜国産ペットフードはペットライン,https://www.petline.co.jp/dog/,2,True,True,yes,no,no,no,no,no,no,yes,27%,,,,,,,,,,規格を遵守して製造された愛犬の健康維持のための毎日の食事です。 商品の詳細 ブランドサイト ドクターズケア 特定の疾病に対応して栄養成分を調整 病気の種類や症状と適合しない状態で使用すると、ペットの健康を損なう可能性がありますので、必ず獣医師のアドバイスに従ってご使用ください。 商品の詳細 ブランドサイト ドクターズケ,2026-06-20
ペットライブラリー株式会社,ダブルオーラルケアガムSS　８本入り 犬用 おやつ - ペットライブラリー株式会社,https://www.petlibrary.jp/brand/petkoubou/113833/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,36.0%,5.0%,0.5%,4.0%,15.0%,307kcal,,,,,牛皮、タピオカでんぷん、芋蜜 原産国 日本 成分表 たんぱく質 36.0％以上 脂質 5.0％以上 粗繊維 0.5％以上 灰分 4.0％以下 水分 15.0％以下 エネルギー 307kcal/100ｇ 商品サイズ 幅×奥行×高さmm（単品） 110×10×230 重量ｇ（単品） 35 ケースサイズ 幅×奥行×高さmm（,2026-06-20
ペットライブラリー株式会社,犬猫用ヨーグルト　プロテイン 犬猫用 おやつ - ペットライブラリー株式会社,https://www.petlibrary.jp/brand/partnerfoods/113899/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,10.0%,0.1%,0.1%,2.0%,82.0%,17.0kcal,,,,,脱脂粉乳、乳たんぱく、生クリーム、乳酸菌 原産国 日本 成分表 たんぱく質 10.0％以上 脂質 0.1％以上 粗繊維 0.1％以下 灰分 2.0％以下 水分 82.0％以下 エネルギー 17.0Kcal/1個あたり 商品サイズ 幅×奥行×高さmm（単品） 70×70×28 重量ｇ（単品） 34 ケース入数 8 ＪＡＮ,2026-06-20
ペットライブラリー株式会社,犬猫用ヨーグルト　いちご味 犬猫用 おやつ - ペットライブラリー株式会社,https://www.petlibrary.jp/brand/partnerfoods/113897/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,2.5%,1.8%,0.1%,1.0%,85.0%,17.0kcal,,,,,牛乳、ガラクトオリゴ糖、脱脂粉乳、いちご果汁、香料、乳酸菌、着色料（モナスカス） 原産国 日本 成分表 たんぱく質 2.5％以上 脂質 1.8％以上 粗繊維 0.1％以下 灰分 1.0％以下 水分 85.0％以下 エネルギー 17.0Kcal/1個あたり 商品サイズ 幅×奥行×高さmm（単品） 70×70×28 重量ｇ,2026-06-20
マルトモ株式会社,1gで使いやすいソフト6P | 鰹節(かつおぶし)・だしの素・つゆのマルトモ,https://www.marutomo.co.jp/archives/product/30432,2,True,False,no,no,no,no,no,yes,no,yes,,,,,,4kcal,,,,,かつおのふし（国内製造） 栄養成分表示 （1g当たり） エネルギー 4 kcal たんぱく質 0.8 g 脂質 0.03 g 炭水化物 0.004 g 食塩相当量 0.01 g アレルギー情報 ※商品に含まれるものは枠内が レッド で表示されております。 特定原材料 (義務表示品目) 特定原材料に 準ずるもの (奨励表,2026-06-20
レッドハート株式会社,Moora Moora®フリーズドライトリーツ – RED HEART｜レッドハート株式会社,https://redheart.co.jp/products/mooramoora/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,65.0%,7.0%,3.6%,8.7%,8.0%,407kcal/100g,,,,,カンガルー生肉95％、レッドビート2.5％、グリーンアップル2.5％ 保証成分値 たんぱく質65.0%以上、脂質7.0%以上、粗繊維3.6%以下、灰分8.7%以下、水分8.0%以下、代謝エネルギー407kcal/100g ※商品の中の乾燥剤と脱酸素剤は、鮮度を保つためのもので食べ物ではありません。愛犬・愛猫やお子様が誤,2026-06-20
レッドハート株式会社,Kia Oraキャットフードに新商品「ケージフリーチキン」登場 – RED HEART｜レッドハート株式会社,https://redheart.co.jp/release/7849/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,30.0%,18.0%,4.0%,10.0%,10.0%,369.7kcal/100g,,,,,チキン生肉、チキンレバー、乾燥チキン、えんどう豆、タピオカスターチ、ドライフィッシュ、そら豆、鶏脂、亜麻仁、天然フレーバー、フィッシュオイル、ビネガー、ミネラル類（塩化カリウム、塩化ナトリウム、硫酸鉄、硫酸銅、硫酸マンガン、硫酸亜鉛、ヨウ素酸カルシウム、亜セレン酸ナトリウム、硫酸コバルト）、ビタミン類（塩化コリン、ビタ,2026-06-20
レッドハート株式会社,Kia Oraに新商品「ドッグ缶（ウェットフード）」登場 – RED HEART｜レッドハート株式会社,https://redheart.co.jp/release/7596/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,9.00%,5.0%,2.0%,3.0%,80.0%,100kcal/100g,,,,,ベニソン生肉、ベニソン肉汁、ベニソン内臓肉（肺、心臓、腎臓、肝臓）、ひよこ豆、レシチン、ミネラル類（塩化カリウム、硫酸マグネシウム、亜鉛タンパク質化合物、鉄タンパク質化合物、マンガンタンパク質化合物、銅タンパク質化合物、亜セレン酸ナトリウム）、乾燥ケルプ、ナトリウム、ビタミン類（塩化コリン、ビタミンE、ナイアシン、ビオ,2026-06-20
レッドハート株式会社,Haere Maiに新商品「ゴート・レバー」、「ベニソン・パディワック」登場 – RED HEART｜レッドハート株式会社,https://redheart.co.jp/release/7461/,6,True,False,yes,yes,yes,yes,yes,no,no,yes,58.0%,19.0%,1.0%,5.0%,11.0%,,,,,,ゴートレバー（肝臓） 商品情報 ヤギの肝臓を厚切りにして乾燥させたおやつ。噛み応えがあり、ビタミンAや、亜鉛、鉄分など栄養価の高い部位です。 ■与え方：おやつまたはトレーニングのご褒美として与えてください。与える時は、そばで適した管理をして、歯が弱い場合はご使用をお控えください。使用中に端がとがったり、喉に詰める危険性,2026-06-20
